id,customer_id,date,caller,status,result,notes
25/05/2502,253638,23/01/2026,กล๊อฟ [Telesale],รับสาย,สินค้ายังไม่หมด,รับสายบอกว่า ใช้ทั้งแบบเม็ดและแบบน้ำ แต่รู้สึกว่าแบบเม็ดดีกว่า เลยถามว่าใช้ยังไง สรุปลูกค้าฉีดทั่วต้นเลยไม่ค่อยลงดิน เลยแนะนำ ราดโคน ฉีดดินรอบโคนดู สักอาทิตย์ละครั้ง เห็นผลได้ไวกว่าแบบเม็ดอีก ลูกค้าบอกว่าใช้กับทุเรียนเล็กพึ่งปลูก ไม่กี่ต้นหลังบ้าน ถ้าหมดแล้วก็น่าจะใช้แหละมั้งเดียวสังไปในเพจ เพราะราคาเท่ากัน เด๊่ยวทักไปเอง ว่างั้น 23/1/69
21/04/2502,253192,23/01/2026,กล๊อฟ [Telesale],รับสาย,ขายได้,รับสาย บอกว่าที่ส่งไปรอบที่แล้ว ไม่ได้รับของ พูดไม่ดี เลยไม่รับ และบอกว่าถ้าส่งขนส่งเดิมก็จะไม่รับของ เลยบอกว่ารอบนี้จะเปลี่ยนขนส่งให้ ให้ลูฏค้าลองเอาไปใช้ใหม่ ลูกค้าบอกมะพร้าว 10กว่าต้น เจอแมลงด้วงกินยอด เลยอยากจะลองใช้ดู เลยบอกว่าจะโทรไปติดตามผลด้วยหลังจากใช้ 23/1/69
01/04/2502,253376,23/01/2026,กล๊อฟ [Telesale],รับสาย,สินค้ายังไม่หมด,รับสายบอกว่า ใช้ไปแล้วครั้งเดียวเอง สองอาทิตย์ที่แล้ว ใบก็ดูเขียวดีอยู่นะ กะว่าจะฉีด2อาทิตครั้งนึง รอบนึงก็ถังเดียวเอง ใช้ได้นาน เพราะมีลง 50กว่าต้นว่างั้น รอบที่แล้วบอก 200ผู้ชายคุย รอบนี้ผู้ ญ เลยฝากสินค้าตัวอื่นๆไปให้ บอกว่าถ้าสนใจ โทรหาเบอร์นี้ได้เลย 23/1/69
17/02/2502,28632,23/01/2026,กล๊อฟ [Telesale],รับสาย,ยังไม่ถึงรอบใช้งาน,ยังไม่ได้โทรหารอโทรเดือนมีนาคม ดูเพื่อจะใช้งานอะไรเพิ่มเติม 
15/12/2501,254350,23/01/2026,กล๊อฟ [Telesale],ไม่รับสาย,ไม่รับสาย,โทรหาวันที่ 21/1/69 บอกว่ามาโรงบาลไม่สะดวก โทรหา 23/1/69 ช่วงเย็น ไม่รับสาย โทรสามรอบ บ่าย 1รอบเย็นสองรอบ 
05/12/2501,253809,23/01/2026,กล๊อฟ [Telesale],รับสาย,ยังไม่ถึงรอบใช้งาน,รับสายบอกฉีดข้าว ไปช่วงก่อนจะเกี่ยว ตอนนี้เกี่ยวไปแล้ว โดยรวมก็พอได้ ถ้าจะใช้อีกที ก็ปลายปีนนี้เลย 
22/10/2501,236296,23/01/2026,กล๊อฟ [Telesale],รับสาย,ยังไม่ถึงรอบใช้งาน,รับสาย บอกว่าตอนนี้ ไม่ค่อยได้ใช้แล้ว อายุเยอะ ไม่ค่อยได้มีเวลาดูแลเท่าไหร่ ที่สำคัญมีอย่างละต้นสองต้นเอง บางทีก็ปล่อยตาย บางตัวที่ทดลองปลูกมันดูแลยาก เลยถามว่าจะได้ปลูกได้ใช้อีกไหม ลูกค้าบอกว่ารอดูช่วงหน้าฝนอีกที 23/1/69 
31/08/2501,232456,23/01/2026,กล๊อฟ [Telesale],รับสาย,คนอื่นรับสายแทน,ใครรับสายก็ไม่รู้บอกเขาไม่อยู่ แล้วจะอยู่ตอนไหน ไม่รู้ แล้วก็ตัดสายทิ้งไป 23/1/69
22/08/2501,229640,23/01/2026,กล๊อฟ [Telesale],ติดสายซ้อน,ติดสายซ้อน,ใครคะ ปุ๋ยเทพมงคลครับ ตัดสายทิ้ง เลยจร้า 23/1/69
11/08/2501,221448,23/01/2026,กล๊อฟ [Telesale],ไม่รับสาย,ไม่รับสาย,ตัดสายทิ้ง 23/1/69
13/07/2501,77064,23/01/2026,กล๊อฟ [Telesale],รับสาย,ไม่สนใจ,รับสาย บอกไม่ใช้แล้ว ไปใช้เคมีแล้ว ใช้แล้วไม่ได้ผล พี่ต้องฉีดรวมกันหลายตัวไม่สะดวกแยกฉีด เลยบอกว่า ปรับสูตรแล้วผสมได้ยกเว้นเคมี ลูกค้าบอกไม่เปนไร ใช้แบบเคมีแหละดีแล้ว ไม่ต้องพ้นบ่อย  23/1/69
